Date,FromAccount,ToAccount,Narrative,Amount
2015-01-07,Ben B,Jon A,Fantasy Football,9.93
2015-01-11,Ben B,Todd,Lunch,7.33
2015-01-12,Laura B,Ben B,Beers,8.94
2015-02-21,Dan W,Ben B,Pokemon Training,0.5
2015-03-08,Ben B,Sam N,Pokemon Training,11.32
2015-03-25,Gergana I,Ben B,Automated Testing Services,2.39
2015-03-29,Gergana I,Ben B,Audit and Other Financial Services,10.85
2015-04-05,Chris W,Ben B,Lunch,0.96
2015-04-15,Ben B,Sam N,Lego Assistance,8.5
2015-04-27,Ben B,Jon A,Pokemon Training,10.91
